h_deg,v_deg,flux_lm,solid_angle_sr,intensity_cd
11.5,-16.5,0.003306,0.000292069487,11.3192242
12.5,-16.5,0.0019836,0.000292069487,6.79153452
13.5,-16.5,0.0014877,0.000292069487,5.09365089
14.5,-16.5,0.003306,0.000292069487,11.3192242
15.5,-16.5,0.0026448,0.000292069487,9.05537936
16.5,-16.5,0.0024795,0.000292069487,8.48941815
17.5,-16.5,0.0024795,0.000292069487,8.48941815
18.5,-16.5,0.0029754,0.000292069487,10.1873018
19.5,-16.5,0.0023142,0.000292069487,7.92345694
20.5,-16.5,0.003306,0.000292069487,11.3192242
21.5,-16.5,0.0019836,0.000292069487,6.79153452
22.5,-16.5,0.0023142,0.000292069487,7.92345694
23.5,-16.5,0.0024795,0.000292069487,8.48941815
24.5,-16.5,0.001653,0.000292069487,5.6596121
25.5,-16.5,0.0026448,0.000292069487,9.05537936
26.5,-16.5,0.0029754,0.000292069487,10.1873018
27.5,-16.5,0.0023142,0.000292069487,7.92345694
28.5,-16.5,0.0021489,0.000292069487,7.35749573
29.5,-16.5,0.0014877,0.000292069487,5.09365089
-29.5,-15.5,0.0026448,0.000293534897,9.01017232
-28.5,-15.5,0.0036366,0.000293534897,12.3889869
-27.5,-15.5,0.0021489,0.000293534897,7.32076501
-26.5,-15.5,0.0038019,0.000293534897,12.9521227
-25.5,-15.5,0.0026448,0.000293534897,9.01017232
-24.5,-15.5,0.0028101,0.000293534897,9.57330809
-23.5,-15.5,0.0023142,0.000293534897,7.88390078
-22.5,-15.5,0.0019836,0.000293534897,6.75762924
-21.5,-15.5,0.003306,0.000293534897,11.2627154
-20.5,-15.5,0.0031407,0.000293534897,10.6995796
-19.5,-15.5,0.0024795,0.000293534897,8.44703655
-18.5,-15.5,0.0019836,0.000293534897,6.75762924
-17.5,-15.5,0.0019836,0.000293534897,6.75762924
-16.5,-15.5,0.0026448,0.000293534897,9.01017232
-15.5,-15.5,0.0036366,0.000293534897,12.3889869
-14.5,-15.5,0.0021489,0.000293534897,7.32076501
-13.5,-15.5,0.0029754,0.000293534897,10.1364439
-12.5,-15.5,0.0021489,0.000293534897,7.32076501
-11.5,-15.5,0.0044631,0.000293534897,15.2046658
-10.5,-15.5,0.0013224,0.000293534897,4.50508616
-9.5,-15.5,0.0026448,0.000293534897,9.01017232
-8.5,-15.5,0.0031407,0.000293534897,10.6995796
-7.5,-15.5,0.0038019,0.000293534897,12.9521227
-6.5,-15.5,0.0024795,0.000293534897,8.44703655
-5.5,-15.5,0.003306,0.000293534897,11.2627154
-4.5,-15.5,0.0021489,0.000293534897,7.32076501
-3.5,-15.5,0.0031407,0.000293534897,10.6995796
-2.5,-15.5,0.0028101,0.000293534897,9.57330809
-1.5,-15.5,0.0021489,0.000293534897,7.32076501
-0.5,-15.5,0.0038019,0.000293534897,12.9521227
0.5,-15.5,0.0026448,0.000293534897,9.01017232
1.5,-15.5,0.0021489,0.000293534897,7.32076501
2.5,-15.5,0.0024795,0.000293534897,8.44703655
3.5,-15.5,0.0021489,0.000293534897,7.32076501
4.5,-15.5,0.0029754,0.000293534897,10.1364439
5.5,-15.5,0.0036366,0.000293534897,12.3889869
6.5,-15.5,0.0038019,0.000293534897,12.9521227
7.5,-15.5,0.0021489,0.000293534897,7.32076501
8.5,-15.5,0.0029754,0.000293534897,10.1364439
9.5,-15.5,0.0028101,0.000293534897,9.57330809
10.5,-15.5,0.0019836,0.000293534897,6.75762924
11.5,-15.5,0.0028101,0.000293534897,9.57330809
12.5,-15.5,0.0028101,0.000293534897,9.57330809
13.5,-15.5,0.0024795,0.000293534897,8.44703655
14.5,-15.5,0.0028101,0.000293534897,9.57330809
15.5,-15.5,0.0036366,0.000293534897,12.3889869
16.5,-15.5,0.0024795,0.000293534897,8.44703655
17.5,-15.5,0.0026448,0.000293534897,9.01017232
18.5,-15.5,0.0028101,0.000293534897,9.57330809
19.5,-15.5,0.0028101,0.000293534897,9.57330809
20.5,-15.5,0.0036366,0.000293534897,12.3889869
21.5,-15.5,0.0024795,0.000293534897,8.44703655
22.5,-15.5,0.0024795,0.000293534897,8.44703655
23.5,-15.5,0.0034713,0.000293534897,11.8258512
24.5,-15.5,0.0031407,0.000293534897,10.6995796
25.5,-15.5,0.0042978,0.000293534897,14.64153
26.5,-15.5,0.0019836,0.000293534897,6.75762924
27.5,-15.5,0.0018183,0.000293534897,6.19449347
28.5,-15.5,0.0026448,0.000293534897,9.01017232
29.5,-15.5,0.0011571,0.000293534897,3.94195039
-29.5,-14.5,0.0042978,0.000294910893,14.5732155
-28.5,-14.5,0.0024795,0.000294910893,8.40762433
-27.5,-14.5,0.0019836,0.000294910893,6.72609947
-26.5,-14.5,0.0021489,0.000294910893,7.28660775
-25.5,-14.5,0.0038019,0.000294910893,12.8916906
-24.5,-14.5,0.003306,0.000294910893,11.2101658
-23.5,-14.5,0.0034713,0.000294910893,11.7706741
-22.5,-14.5,0.001653,0.000294910893,5.60508289
-21.5,-14.5,0.0026448,0.000294910893,8.96813262
-20.5,-14.5,0.0018183,0.000294910893,6.16559118
-19.5,-14.5,0.0024795,0.000294910893,8.40762433
-18.5,-14.5,0.0026448,0.000294910893,8.96813262
-17.5,-14.5,0.0031407,0.000294910893,10.6496575
-16.5,-14.5,0.0024795,0.000294910893,8.40762433
-15.5,-14.5,0.0038019,0.000294910893,12.8916906
-14.5,-14.5,0.0042978,0.000294910893,14.5732155
-13.5,-14.5,0.0029754,0.000294910893,10.0891492
-12.5,-14.5,0.0034713,0.000294910893,11.7706741
-11.5,-14.5,0.0019836,0.000294910893,6.72609947
-10.5,-14.5,0.0024795,0.000294910893,8.40762433
