lens_id,diffuser_id,rows,cols,spacing_x_mm,spacing_y_mm,lens_position_mm,current_per_led_ma,total_current_ma,power_w,source_flux_lm,exit_flux_lm,i00_cd,imax_cd,apparent_area_cm2,passed,note
ledil_c16369_hb_sq_w_xhp70p2,milky_acrylic_diffuser,1,4,28.0,28.0,,196.2498413549419,784.9993654197676,9.41999238503721,1278.4275379693358,476.7701814730433,404.84870367154184,554.142612183339,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,milky_acrylic_diffuser,2,2,28.0,28.0,,196.2498413549419,784.9993654197676,9.41999238503721,1278.4275379693358,476.7701814730433,404.84870367154184,554.142612183339,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,milky_acrylic_diffuser,2,3,28.0,28.0,,130.8908655747568,785.3451934485407,9.424142321382488,1278.9907436161948,485.6187488308981,400.0,569.3034996255991,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,milky_acrylic_diffuser,3,2,28.0,28.0,,130.8908655747568,785.3451934485407,9.424142321382488,1278.9907436161948,485.6187488308981,400.0,569.3034996255991,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,milky_acrylic_diffuser,3,4,28.0,28.0,,65.5881114040612,787.0573368487344,9.444688042184813,1281.7790914393674,477.56995402663176,400.0,569.8027785845655,27.0,True,scaled physical approximation
ledil_c12868_flare_maxi_xhp70p2,milky_acrylic_diffuser,1,1,28.0,28.0,,788.8265966792819,788.8265966792819,9.465919160151383,1284.6604574491162,487.43125723669,400.0,579.6160526907387,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,milky_acrylic_diffuser,2,4,28.0,28.0,,98.87237986099355,790.9790388879484,9.49174846665538,1288.1658633318016,480.0592660559266,400.0,556.9274264426516,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,milky_acrylic_diffuser,1,2,28.0,28.0,,397.40280924569487,794.8056184913897,9.537667421896677,1294.3977215431205,482.5042702065387,400.0,558.1771325378758,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,milky_acrylic_diffuser,2,1,28.0,28.0,,397.40280924569487,794.8056184913897,9.537667421896677,1294.3977215431205,482.5042702065387,400.0,558.1771325378758,27.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,milky_acrylic_diffuser,2,3,28.0,28.0,,133.08451784829003,798.5071070897402,9.582085285076882,1300.4258601175768,484.7030132344889,400.00000000000006,564.7467932862987,27.0,True,scaled physical approximation
